; ;Phase;Connectivity;X;Y;PhaseConnectivity
2;3;0;0;218;191;00
3;4;0;0;809;664;00
4;5;0;0;402;1373;00
51;52;0;1;148;6;01
53;54;0;1;385;22;01
55;56;0;1;737;49;01
61;62;0;1;120;108;01
63;64;0;1;62;122;01
65;66;0;1;426;140;01
68;69;0;1;494;159;01
69;70;0;1;384;168;01
70;71;0;1;401;170;01
71;72;0;1;411;176;01
73;74;0;1;754;189;01
75;76;0;1;553;214;01
76;77;0;1;1509;217;01
77;78;0;1;769;225;01
80;81;0;1;599;246;01
84;85;0;1;537;308;01
86;87;0;1;28;335;01
93;94;0;1;1073;469;01
96;97;0;1;632;486;01
97;98;0;1;1192;503;01
99;100;0;1;268;533;01
100;101;0;1;729;537;01
101;102;0;1;449;538;01
102;103;0;1;781;567;01
107;108;0;1;1313;623;01
109;110;0;1;577;630;01
116;117;0;1;25;712;01
127;128;0;1;377;879;01
128;129;0;1;154;894;01
133;134;0;1;26;950;01
135;136;0;1;587;982;01
140;141;0;1;1032;1038;01
143;144;0;1;943;1063;01
144;145;0;1;1413;1063;01
145;146;0;1;1344;1067;01
147;148;0;1;366;1083;01
149;150;0;1;170;1101;01
150;151;0;1;1275;1107;01
154;155;0;1;284;1166;01
157;158;0;1;626;1199;01
160;161;0;1;388;1251;01
162;163;0;1;407;1261;01
167;168;0;1;1395;1370;01
170;171;0;1;1029;1428;01
172;173;0;1;449;1442;01
176;177;0;1;234;1477;01
178;179;0;1;815;1491;01
180;181;0;1;843;1500;01
181;182;0;1;735;1504;01
182;183;0;1;1199;1508;01
183;184;0;1;347;1512;01
184;185;0;1;1438;1515;01
185;186;0;1;248;1517;01
254;255;0;3;457;24;03
255;256;0;3;478;36;03
257;258;0;3;402;146;03
258;259;0;3;225;184;03
259;260;0;3;364;185;03
260;261;0;3;226;189;03
261;262;0;3;100;208;03
262;263;0;3;760;212;03
263;264;0;3;1410;262;03
265;266;0;3;1076;518;03
266;267;0;3;1188;519;03
268;269;0;3;435;622;03
269;270;0;3;589;625;03
270;271;0;3;197;626;03
271;272;0;3;626;635;03
272;273;0;3;800;657;03
273;274;0;3;817;662;03
274;275;0;3;808;672;03
275;276;0;3;266;747;03
277;278;0;3;1250;820;03
279;280;0;3;449;874;03
280;281;0;3;80;881;03
281;282;0;3;756;941;03
282;283;0;3;788;1146;03
283;284;0;3;1062;1167;03
284;285;0;3;274;1176;03
285;286;0;3;413;1274;03
287;288;0;3;392;1367;03
288;289;0;3;408;1372;03
289;290;0;3;672;1372;03
290;291;0;3;393;1381;03
291;292;0;3;504;1429;03
292;293;0;3;240;1498;03
